ID,Horas_Trabajadas_Por_Semana,Ausencias_Por_Enfermedad,Nivel_de_Estres,Edad,Tipo_de_Trabajo,Riesgo
1,21,3,7,63,Físico,1
2,55,4,3,39,Oficina,1
3,60,0,5,46,Oficina,0
4,29,5,3,59,Físico,1
5,60,3,5,29,Físico,0
6,38,2,5,26,Oficina,0
7,24,0,10,61,Físico,0
8,25,2,10,23,Físico,0
9,21,4,8,42,Oficina,1
10,43,1,10,22,Físico,0
11,55,3,8,64,Oficina,0
12,69,0,7,52,Físico,0
13,21,1,5,54,Oficina,0
14,68,0,10,27,Físico,0
15,49,3,0,63,Oficina,0
16,58,0,1,56,Oficina,0
17,63,4,8,37,Oficina,1
18,43,4,9,57,Físico,1
19,22,0,4,56,Oficina,0
20,20,4,7,42,Físico,1
21,32,2,7,45,Oficina,0
22,60,0,0,41,Oficina,0
23,28,5,10,40,Oficina,1
24,40,5,3,54,Oficina,1
25,59,3,1,62,Físico,0
26,35,1,8,24,Oficina,0
27,67,1,7,37,Físico,0
28,47,3,4,55,Oficina,0
29,57,3,10,50,Oficina,0
30,66,2,6,30,Oficina,0
31,56,4,8,31,Físico,1
32,64,0,9,26,Físico,0
33,37,1,5,63,Físico,0
34,29,2,6,53,Físico,0
35,52,1,7,44,Oficina,0
36,41,2,8,21,Oficina,0
37,67,5,8,22,Físico,1
38,61,0,7,39,Oficina,0
39,55,4,8,49,Físico,1
40,39,1,7,48,Oficina,0
41,42,3,7,22,Oficina,0
42,46,3,5,60,Físico,0
43,70,5,7,51,Físico,1
44,25,2,8,44,Físico,0
45,32,3,9,32,Físico,0
46,52,5,6,63,Físico,1
47,47,3,6,39,Oficina,0
48,21,3,7,53,Físico,1
49,64,5,7,43,Físico,1
50,31,2,9,59,Oficina,0
51,70,3,3,26,Oficina,1
52,31,1,4,46,Físico,0
53,49,0,8,46,Oficina,0
54,51,4,1,41,Oficina,1
55,69,4,10,31,Físico,1
56,61,2,2,49,Oficina,0
57,53,2,7,61,Físico,0
58,32,2,4,55,Oficina,0
59,33,4,2,63,Físico,1
60,32,2,3,23,Oficina,0
61,55,4,6,25,Oficina,1
62,44,4,3,47,Físico,1
63,60,0,10,61,Físico,0
64,29,5,8,57,Físico,1
65,70,4,10,26,Físico,1
66,60,1,8,45,Oficina,0
67,31,3,6,31,Oficina,0
68,20,5,5,47,Físico,1
69,43,3,4,50,Oficina,0
70,31,4,0,30,Físico,1
71,55,1,5,38,Oficina,0
72,70,2,0,21,Físico,0
73,68,5,7,22,Oficina,1
74,58,2,6,23,Físico,0
75,68,3,4,59,Oficina,0
76,22,5,4,59,Oficina,1
77,62,4,0,62,Físico,1
78,39,0,3,29,Físico,0
79,38,5,3,22,Oficina,1
80,60,0,3,48,Físico,0
81,47,5,8,25,Oficina,1
82,55,1,2,49,Oficina,0
83,65,4,9,25,Físico,1
84,49,5,2,51,Oficina,1
85,41,1,6,42,Oficina,0
86,61,5,0,29,Físico,1
87,64,3,10,20,Oficina,0
88,56,5,0,19,Oficina,1
89,53,0,5,30,Oficina,0
90,65,0,1,33,Físico,0
91,49,1,0,31,Oficina,0
92,51,3,3,57,Oficina,0
93,31,5,6,19,Oficina,1
94,50,4,0,35,Físico,1
95,31,0,5,29,Físico,0
96,64,4,3,20,Físico,1
97,56,0,1,60,Físico,0
98,61,5,7,29,Oficina,1
99,43,0,10,60,Físico,0
100,50,3,0,18,Oficina,0
101,47,4,3,36,Oficina,1
102,57,4,3,62,Físico,1
103,43,2,4,32,Oficina,0
104,62,1,5,46,Físico,0
105,47,0,5,31,Oficina,0
106,57,2,7,59,Oficina,0
107,52,4,1,35,Físico,1
108,23,1,3,36,Oficina,0
109,27,3,5,26,Físico,1
110,48,4,3,59,Físico,1
111,65,3,6,34,Físico,0
112,61,0,1,50,Oficina,0
113,25,3,4,41,Físico,1
114,65,0,2,31,Oficina,0
115,59,1,2,52,Físico,0
116,68,1,1,63,Físico,0
117,34,2,5,59,Físico,0
118,54,1,7,27,Físico,0
119,55,5,8,30,Oficina,1
120,52,4,1,51,Físico,1
121,60,1,2,22,Físico,0
122,47,3,4,19,Oficina,0
123,20,0,7,21,Oficina,0
124,34,1,1,46,Físico,0
125,61,5,6,59,Oficina,1
126,52,1,1,47,Físico,0
127,56,0,7,54,Oficina,0
128,47,5,9,63,Oficina,1
129,37,4,10,63,Físico,1
130,33,3,0,62,Oficina,0
131,68,3,1,56,Físico,0
132,45,1,1,25,Físico,0
133,70,5,8,24,Físico,1
134,30,1,3,63,Oficina,0
135,51,1,0,28,Oficina,0
136,46,2,9,35,Físico,0
137,42,1,10,47,Físico,0
138,30,3,5,64,Oficina,1
139,64,3,6,48,Oficina,0
140,53,1,7,28,Oficina,0
141,70,0,1,57,Físico,0
